Alisson Gomes|http://ego.globo.com/famosos/tudo-sobre/alisson-gomes.html|Capricórnio|1986-12-27|NULL
Ally Brooke|http://ego.globo.com/famosos/tudo-sobre/ally-brooke.html|Câncer|1993-07-07|NULL
Alyson Hannigan|http://ego.globo.com/famosos/tudo-sobre/alyson-hannigan.html|Áries|1974-03-24|NULL
Amado Batista|http://ego.globo.com/famosos/tudo-sobre/amado-batista.html|Aquário|1951-02-17|NULL
Amal Alamuddin|http://ego.globo.com/famosos/tudo-sobre/amal-alamuddin.html|Aquário|1978-02-03|NULL
Amanda Bynes|http://ego.globo.com/famosos/tudo-sobre/amanda-bynes.html|Áries|1986-04-03|NULL
Amanda Djehdian|http://ego.globo.com/famosos/tudo-sobre/amanda-djehdian.html|Touro|1986-05-14|NULL
Amanda Gontijo|http://ego.globo.com/famosos/tudo-sobre/amanda-gontijo.html|Libra|1990-10-22|NULL
Amanda Lee|http://ego.globo.com/famosos/tudo-sobre/amandha-lee.html|Escorpião|1978-11-17|NULL
Amanda Pinheiro|http://ego.globo.com/famosos/tudo-sobre/amanda-pinheiro.html|Câncer|1981-07-03|NULL
Amanda Richter|http://ego.globo.com/famosos/tudo-sobre/amanda-richter.html|Aquário|1990-02-05|Max Fercondini
Amanda Seyfried|http://ego.globo.com/famosos/tudo-sobre/amanda-seyfried.html|Sagitário|1985-12-03|NULL
Amauri Nunes|http://ego.globo.com/famosos/tudo-sobre/amauri-nunes.html|Aquário|1983-01-26|NULL
Amber Heard|http://ego.globo.com/famosos/tudo-sobre/amber-heard.html|Touro|1986-04-22|Johnny Depp
Amber Rose|http://ego.globo.com/famosos/tudo-sobre/amber-rose.html|Libra|1983-10-21|NULL
America Ferrera|http://ego.globo.com/famosos/tudo-sobre/america-ferrera.html|Áries|1984-04-18|NULL
Amora Mautner|http://ego.globo.com/famosos/tudo-sobre/amora-mautner.html|Gêmeos|1975-05-24|NULL
Amy Adams|http://ego.globo.com/famosos/tudo-sobre/amy-adams.html|Leão|1974-08-20|NULL
Amy Jo Johnson|http://ego.globo.com/famosos/tudo-sobre/amy-jo-johnson.html|Libra|1970-10-06|NULL
Amy Winehouse|http://ego.globo.com/famosos/tudo-sobre/amy-winehouse.html|NULL|NULL|NULL
Ana Beatriz Barros|http://ego.globo.com/famosos/tudo-sobre/ana-beatriz-barros.html|Gêmeos|1982-05-29|NULL
Ana Carolina|http://ego.globo.com/famosos/tudo-sobre/ana-carolina.html|Virgem|1974-09-09|NULL
Ana Carolina Dias|http://ego.globo.com/famosos/tudo-sobre/ana-carolina-dias.html|Libra|1987-10-08|NULL
Ana Carolina Madeira|http://ego.globo.com/famosos/tudo-sobre/ana-carolina-madeira.html|Aquário|1984-02-10|NULL
Ana Claudia Michels|http://ego.globo.com/famosos/tudo-sobre/ana-claudia-michels.html|Leão|1981-07-31|NULL
Ana De Biase|http://ego.globo.com/famosos/tudo-sobre/ana-de-biase.html|Capricórnio|1980-01-14|NULL
Ana Furtado|http://ego.globo.com/famosos/tudo-sobre/ana-furtado.html|Libra|1973-10-22|None
Ana Hickmann|http://ego.globo.com/famosos/tudo-sobre/ana-hickmann.html|Peixes|1981-03-01|None
Ana Maria Braga|http://ego.globo.com/famosos/tudo-sobre/ana-maria-braga.html|Áries|1949-04-01|NULL
Ana Paula Almeida|http://ego.globo.com/famosos/tudo-sobre/ana-paula-almeida.html|Aquário|1977-02-01|NULL
Ana Paula Arósio|http://ego.globo.com/famosos/tudo-sobre/ana-paula-arosio.html|Câncer|1975-07-16|NULL
Ana Paula Evangelista|http://ego.globo.com/famosos/tudo-sobre/ana-paula-evangelista.html|Aquário|1982-01-31|NULL
Ana Paula Minerato|http://ego.globo.com/famosos/tudo-sobre/ana-paula-minerato.html|Gêmeos|1991-05-24|NULL
Ana Paula Siebert|http://ego.globo.com/famosos/tudo-sobre/ana-paula-siebert.html|Aquário|1988-02-18|Roberto Justus
Ana Paula Tabalipa|http://ego.globo.com/famosos/tudo-sobre/ana-paula-tabalipa.html|Leão|1978-08-19|NULL
Ana Rosa|http://ego.globo.com/famosos/tudo-sobre/ana-rosa.html|Gêmeos|1942-06-18|NULL
Ana Terra Blanco|http://ego.globo.com/famosos/tudo-sobre/ana-terra-blanco.html|Leão|1989-08-07|NULL
Anahí|http://ego.globo.com/famosos/tudo-sobre/anahi.html|Touro|1983-05-14|NULL
Analice|http://ego.globo.com/famosos/tudo-sobre/analice.html|Gêmeos|1985-06-18|NULL
Anamara|http://ego.globo.com/famosos/tudo-sobre/anamara.html|Câncer|1984-07-13|NULL
Anderson Di Rizzi|http://ego.globo.com/famosos/tudo-sobre/anderson-di-rizzi.html|Leão|1978-08-03|NULL
Anderson Silva|http://ego.globo.com/famosos/tudo-sobre/anderson-silva.html|Áries|1975-04-14|NULL
Anderson Varejão|http://ego.globo.com/famosos/tudo-sobre/anderson-varejao.html|Libra|1982-09-28|NULL
André De Biase|http://ego.globo.com/famosos/tudo-sobre/andre-de-biase.html|Sagitário|1956-11-23|NULL
André Gonçalves|http://ego.globo.com/famosos/tudo-sobre/andre-goncalves.html|Escorpião|1975-11-16|NULL
André Marques|http://ego.globo.com/famosos/tudo-sobre/andre-marques.html|Libra|1979-09-24|NULL
André Martinelli|http://ego.globo.com/famosos/tudo-sobre/andre-martinelli.html|Áries|1988-04-05|Fernanda Keulla
Andréa Beltrão|http://ego.globo.com/famosos/tudo-sobre/andrea-beltrao.html|Virgem|1964-09-16|NULL
Andréa de Andrade|http://ego.globo.com/famosos/tudo-sobre/andrea-de-andrade.html|Câncer|1986-07-03|NULL
Andréia Horta|http://ego.globo.com/famosos/tudo-sobre/andreia-horta.html|Leão|1983-07-27|NULL
Andréia Sorvetão|http://ego.globo.com/famosos/tudo-sobre/andreia-sorvetao.html|Leão|1973-08-01|NULL
Andrej Pejic|http://ego.globo.com/famosos/tudo-sobre/andrej-pejic.html|Virgem|1991-08-28|NULL
